Review,Rating
"Соотношение цена - качество, функционал просто лучшее на рынке андройдов.   Альтернатив пожалуй нет. Удобно пользоваться, хороший отклик. Это мой первый смартфон на анд. и я приятно удивлен. Если бы не косяк с отображением заряда батареи то был бы идеален. Кто сомневаеться и недостатки для вас не критичны, смело берите не пожалеете. С первой зарядки, активный серф, закачки и игра в игры , звонки и смс, будильник и использование камеры продержался 4 суток. На играх типа миньонов сильно ест батарею, но я не любитель таких игр.",4
"Мой первый смарт. Первое, что мне понравилось вес, ощутим в руке. Задняя крышечка рифленая с прикольным логотипом. Взял в замену простой звонилки, не убиваемой и с без конечным зарядом батарейкой LG GX200, так как периодически нужен интернет и камера  . В первые дни пользования разочаровал аккумулятор. Жрет прям на глазах и не адекватно показывал % заряда . Немного побаловался с разрядкой и зарядкой и установил прогу Battery doctor, вроде пока норм. И зарядки уже хватает теперь на два  дня с периодическим выходом в инет и звонками. Пишут не поддерживает билаин-интерне. Надо включить мозги и поставить галочку в настройках интернета  Тип аутентификации: поставить точку на РАР и 3G ваше. Остальные настройки не трогать. Качество фото с него меня устраивает (это телефон, а не фотоаппарат). Звук громкий. Увеличить можно прогой (без надобности и так хватает). В общем стал привыкать к смарту и просто званилку уже не хочу. Держал бы батарею как моя лыжа, но......... все таки смарт. Когда покупал искал золотую середину  между дорогими и не дорогими смартами и нашел, в виде Prestigio MultiPhone 4055 DUO. Купил сибе и жине, пока довольны. У меня и навигатор в машине этой фирмы, второй год пошел, полет нормальный.",5
"Неплохой аппарат. всё заявленное работает. Единственное, что туговат. Андрид долго мыслит. может это из-за 1гбОЗУ (которая на постой занята и требует освобождения места от устаревших файлов) Громкий аппрат. весь функционал что надо есть. Еле нашла как на каждого пользователя свою мелодию и картинку ставить. немного нехватает синхронизации симки и аппарата. из-за этого, 100раз повторяется один и тот же номер. Копировать надо на аппарат и сохранять там картинки и мелодии -иначе не установить. 2-е симки ловит без проблем. Вай-Фая супер! лёгок в использовании. Хотелось бы, лишь чтоб в мыслях своих был пошустрее.",4
"Нормальный добротный телефон на андроиде. Немного толстоват.Батарея обычная, держит полтора-два дня, при среднем использовании.Камера обычная, ничего выдающегося.",3
"Мой первый смартфон. Требования при выборе были следующие: 1) ёмкость батарейки от 2500 мА, 2) wi-fi, 3) Android, 4) диагональ экрана от 4 дюймов, 5) 2 симки, 6) фронтальная камера, 7) цена 5-6 тысяч. Из выданных Яндекс.маркет вариантов и предварительно просмотренных их отзывов и обзоров, остановился на 3: Fly Energy 2, Fly 440 Energy, Prestigio 4055 DUO. Посмотрел все 3 в магазине, Fly Energy 2 не понравился из-за слишком большого размера, хотя батарейка хорошая. Fly 440 Energy и Prestigio 4055 DUO практически одинаковы, и по виду и по параметрам. Но Prestigio 4055 DUO больше понравился, плюс наличие чехла сыграло свою роль.Первая зарядка от 0 до 100% заняла 7 часов, батарейки хватило на 1 день 15 часов, 2 зарядка заняла 6 часов батарейки хватило на 1 день 19 часов, при постоянным использование телефона, пока тестировал его. После третьей зарядки хватило на 4 дня 12 часов, при обычном режиме использования, то есть звонки, sms, фотографирование и видео запись и интернет через вайфай.Дописываю отзыв спустя 6 месяцев использования, смартфон стал глючить, зависает иногда, решается только вытаскиванием батарейки, еще часто когда нажимаешь список контактов он начинает долго грузиться, более 5 минут, после перезагрузки телефон работает. Блютуз с автомобильным блютузом соединяется и держит отлично, Wi-Fi стабильно работает, фото и видео хорошие, неплохие панорамы делает, батарейка держит пару дней уверенно.Главный минус это зависания и долгая загрузка контактов в самый неподходящий момент, поэтому все же не буду рекомендовать этот смарт покупать.",3
"Замечательный телефон.Пользуюсь 3 года уже никак не нарадуюсь.Столько всего пережил...За такую цену берите,не задумывайтесь",5
Телефон класный держит долго вобше самый успешный телефон за мои покупки.Стоить должен больше,5
"Пережил многое, 2 потопления, кучу падений на различные материалы, при этом жив!",5
В общем вполне неплохой телефон - акк держит нормально ( я не сижу в интернете и не  играю) по работе говорю не мало - на разговоры и смс в хорошем использовании акка хватает на несколько дней. Если берет ребенок и играет в игры - хватает на день - два. Очень порадовал чехол в комплекте! не пришлось подбирать специально и тратить деньги.... Только размер чехла маловат малость.... трудно вытащить! - если руки влажные (вспотели к примеру) - вообще не могла вытащить.... со временем не разносился....,4
"Поддерживает две симки - очень удобно, можно для работы и для себя иметь два отдельных номера, ну и тарифы подбирать соответствующие. экран 4 дюйма в диагонали, небольшой, но и не мелкий, в руках лежит удобно, к тому же приятное рифленое покрытие сзади - не скользит, отпечатки пальцев не так видны. Неплохая камера - 8 мпикс, не супер-крутая, но все равно снимки нормальные, при переносе на комп качество сильно не теряется. Аккумулятор довольно мощный, каждый день заряжать не нужно.",5
"На 2 день использования завис ,вынимал и вставлял акум. 2 раза и только на второй раз помогло",4
"за такую цену аппарат, очень хорош, все устраивает, аккумулятор держит хорошо даже при активном пользовании интернетом и частыми звонками. В игры особо не играю, так что про них говорить ничего не буду. Аппарат очень нравится",5
в принципе баян не плохой если вам нужна болталка с набором офис+интернет,5
"Купил несколько дней назад, лучше бы взял что то другое. Аккумулятор держит заряд буквально часов 12, это, если с него не звонить. Через пол часа разговора заряда осталось 60%, а я его только с зарядки снял. Заряжал первый раз так, как сказали в магазине - 12 часов после полной разрядки. Отключил от зарядки утром, пока доехал до работы осталось 85 %, хотя ни куда не звонил. Все службы отключены, такие как gps, wi-fi, и так далее. Вот так вот. А брал я его только из за того, что аккумулятор 2500 ма/ч...   Не рекомендую покупать.",2
"Все достоинства Prestijo 4055 рассматривайте через его цену. Телефон умеет всё, что должен уметь, но немножко хуже, чем дорогие модели-флагманы. Если вы согласны иметь телефон, который во всём немножечко хуже, чем дорогие модели, но нааамного дешевле их, то Prestijo 4055 - наилучший выбор.",4
"Покупкой полностью доволен, аппарат устраивает на все 100%, решил не переплачивать деньги за бренд, и не жалею.",5
Отличный смарт .,4
"Телефон так себе,очень часто тормозит - нажимаю ""вход в меню"" и жду еще 20-30 сек.,пока он откроет и так практически со всеми приложениями,коих у меня не так много.Один раз слетала прошивка,пришлось менять(при этом потерялись все контакты),иногда зависает.Это основные недостатки.Батарея держит заряд около 3-х дней(если не пользоваться интернетом).",2
Хороший телефон правда есть минус акселерометр помойму вообще никакой не реагирует кобудто его там и нету Камера хорошая наушники очень даже хороши получше чем сенхайзер и монстер-битс (это мое мнение) А чехол отстойный очень трудно вытащить  фронтальная камера обычная Звук тоесть когда записываешь на диктофон или на камеру видео звук очень чистый и кажется что ты держишь айфон Разочаровал только акселерометр а так компания делает хорошие телефоны и планшеты рекомендую покупать!,5
"Сразу хотел взять Sony Xperia Miro,но когда увидел  Prestigio,я понял что я буду переплачивать за бренд,а не за функционал.Хорошая модель,за свои деньги.Сверх возможностей я от него не ждал.Престижио отлично справляется с теми функциями,которыми я пользуюсь(игры,интернет,звонки,камера).У данного смарта,даже нет намека на бюджетность.В данной ценовой категории я ничего лучшего не нашел.",5
"В принципе телефон не так плох, использую для звонков и интернета, глюков серьезных пока не было, иногда сбрасывает живые обои (из-за  512 мб).ТЕЛЕФОН НЕ ИГРОВОЙ!! так что subway и пасьянс ваши лучшие друзья",4
"Есть нюансы:Акселерометр простейший, не играбелен, если что.Чехол в наличии, но тугой(надо растягивать, например, обмотав телефон журнальной бумагой)Шкала заряда нелинейная, как уже было сказано.Нужен был недорогой смартфон. Также рассматривал Fly IQ441 Radiance (чуть слабее, но с IPS). Решил в пользу prestigio из-за цены (4990)Сейчас ещё раз подумал бы, возможно лучше переплатить.update 25.12.13Лучше было переплатить и взять что-нибудь получше... Сенсор стал тупить чаще, появились зависания. Prestigio пока не тянет по качеству...",3
"вообщем телефон замечательный,особенно за своиденьги",5
"купила неделю назад-последние 3 дня глюканул не на шутку-сенсор не реагировал вообще, выключение и перезагрузка не помогали.это мой рабочий инструмент-играться некогда, пока доехала домой до старого-потеряла время и клиентов...сегодня иду сдавать0отвратительная модель, полный абзац....а другие модели у друзей работают...",1
"Мой первый смарт, пользуюсь около 3х месяцев, не ожидал, что буду спокойно пользоваться на одном заряде 3-4 дня, по этой причине ранее не покупал сенсор с большим экраном, кстати, мобильные разговоры меньше всего садят батарею. Камеру так и не получилось победить, при искусственном освещении муть получается полная, но для фотографий имею зеркальный фотик :). Юзал навигатор, скайп, аську и т.п. - превзошли все мои ожидания, да и вообще, с Wi-Fi работает на ура!  При хорошей яркости и четкости экрана, угол обзора не большой, гораздо хуже флаев, лж, самсунг, штс, но мне это даже нравится, ибо нефиг заглядывать в мой экран кому-либо, кроме меня :)",4
"ужасная модель,батарейки хватает почти на день,качество камеры оставляет желать лучшего,через 5 месяцев использования полетел разъем зарядки и экран полтора месяца продержали в ремонте теперь составляют акт на замену",1
"когда покупал этот смарт, знал все плюсы и минусы данной модели, поэтому нет разочарования камерой и акселерометром, отсутствием компаса, не нужны они мне, в игры не играю, компас при наличии нормально работающего GPS не нужен, конечно пришлось повозится с данной службой, но после фикса спутников всё работает как надо. адекватная цена за такой аппарат (особенно за гарантию в 2 года). данная модель подходит тем кто не играет в игры а пользуется телефоном по прямому назначению, то есть звонки интернет навигация, иногда музыка книги и простенькие игрушки, нердам он конечно не подойдёт.",5
"Покупал в большом магазине шесть месяцев назад. По маркету на тот момент у них была самая низкая цена: 4990. Три дня нарадоваться не мог, и вдруг полетел сенсор начал самопроизвольно нажиматься, отнес в магазин, немного подождал, чтобы они убедились что сенсор работает не как надо, вернули деньги (т.к. в магазине не осталось их). Заказал второй такой же, там же. И не прогадал, все работает и по сей день. Навигация, интернет работают быстро и точно, прием стабильный, батарея за 2 дня в ноль при: 3-х часах музыки параллельно с приложениями. Ребристая крышка не пачкается. 2 камеры причем годные. У уха можно не держать пока ждешь ответа - завибрирует =) Второе мое портативное устройство на андройде и первое после которого я андройд полюбил. Берите если вам нужна ""рабочая лошадка"" без ""понтов"", но с хорошим функционалом, не пожалеете.",5
"кому нужен в первую очередь практичный телефон, о котором не нужно много думать, лишний раз протирать тряпочкой к примеру и ставить каждый день на зарядку, но который также легко может выручить в дороге, GPS стоит навител, спутники цепляет за ..минуту где-то, на котором можно посмотреть кино, послушать музыку в хорошем качестве( фильмы проигрывает  много форматов, звук радует) Кто купит этот аппарат, думаю останется доволен, придраться не к чему, конечно есть такие кому и столб не понравиться, пишут негатив про него, хотя должны понимать что браки бывают у всех без исключения марок, а прежде чем купить, нужно почитать и подумать для чего именно нужна будет данная модель",4
"Отличный смартфон. Несовместимость с Билайном чуть не заставила поменять его на что-то другое, но... утро вечера мудренее, и выбор пал на замену оператора связи :)ЗЫ Кому мало аккумулятора - купите внешний, за лишнюю тысячу рублей будет работать не сутки, а 3-4 суток.",5
"При нечастых звонках и немного интернета в день держит заряд неделю. Глюков не замечено. Иногда при долгой работе в нете 512 МБ оперативной памяти забиваются и тел начинает тормозить (гигабайт памяти предпочтительнее, но это другой ценовой сегмент). Экран достаточно яркий. Компаса нет.Акселерометр не фиксирует малые наклоны, т.е. пригоден только для служебных целей определения положения телефона для поворота экрана (поэтому предполагаю сложности с некоторыми экшн-играми где нужен чувствительный акселерометр).",5
"Пользуюсь телефоном пару недель, аппаратом пока довольна.",5
"Очень разочарован покупкой. Сначала увидел, прочитал описание. отзывы - всё понравилось (кроме дисплея - великоват), попользовался, к вечеру обнаружил, что акселерометр (G-sensor) - никакой просто. Не реагирует на повороты телефона на 1-2 градуса, реагирует только на 90 градусов, то есть очень ""резкий"". Компаса тоже нет! или он не работает.Прочитал на форумах - пишут, что так и задумано. Не покупайте эту модель!",2
"Мой 1 смартфон Поэтому старался экономить, честно говоря по началу думал куплю какой-нибудь слабенький но красивый и компактный дюйма на 4. А в итоге оказался отличный девайс по приемлемой цене. Правда очень жаль что марка не популярна и виниловых наклеек на него нет зато он очень похож на samsung S3 так-что подобрать подходящею можно.",5
"Пока нареканий никаких, малый объем встроенной памяти компенсирутся возможностью установка карты памяти.",5
меню  смартфона частково на англійській мові. хто знає як зробити все по українське???,4
"При такой цене самый лучший выбор. + кожаный чехол в комплекте. Шесть дней на одной зарядке умеренного использования.(звонки, немного GPS и ангри бёрдс) Аппарат - ОГОНЬ!!!",5
"очень доволен. Батареи, если отключить все лишнее и использовать как телефон, спокойно хватает на 3 дня. Если умеренно пользовать вай фай,  проигрыватель, книжка, то на пару дней. Поигрался со всем функционалом, все работает. После обновления прошивки заряд аккумулятора стал адекватно отображаться и размер клавиатуры вроде стал побольше. Вполне звонкий,  яркий и небольшой девайс.",5
"1. В телефоне 1 гб свободной внутренней памяти, но как только начинаете ставить доп приложения, ее становится все меньше и меньше. 2. Фотокамера 8 мп только до ISO 400, как только ставите ISO 800 или 1600 - разрешение камеры автоматически будет 1,3 мп. Соответственно если ставите ISO на автомат, камера будет поднимать ISO до 800 и выше, а значит и снимать будет на автомате в 1,3 мп. Вывод: ставьте ISO 400, а не автомат ISO. При этом качество фото все равно оставляет желать лучшего и гораздо хуже, чем 8 мп или даже 6 мп на фотоаппарате за 5 т.р. Короче кому нужны крутые фотки - этот аппарат не для вас! Это мой первый смартфон, соотношением ""качество/цена"" очень доволен. Описанные недостатки можно списать опять же на цену (но никак не на бренд). Если бы у него не было описанных недостатков - это стоило бы уже в 3 раза больше, что логично. Специально искал телефон на Андроид, чтобы привыкнуть перед покупкой Samsung Note II, но сейчас уже не уверен, что буду его менять в ближайшее время, т.к. телефон полюбился практически сразу. Все понятно без инструкции, удобное управление. За эти деньги вполне хороший вариант, который даже язык не поворачивается назвать ""бюджетным"" или ""эконом классом"". Под брендом Samsung этот аппарат стоил бы ровно в 2 раза дороже. Все супер, остается теперь все это проверить временем, надеюсь не сломается в ближайшие 2-3 года. Может быть что-то не правильно написал, но это мой первый смартфон, так что я не слишком опытный пользователь.",4
"Отличный смарт за такие деньги.""Чайник"" ломает телефон, спасает перепрошивка. Спокойно рутируется Фрамарут-ом.",4
"Первопричиной приобретения был аккумулятор - по работе общаюсь много - окколо часа-полутора разговоров в день + СМС, WhatsApp и прочее. при таком режиме старая звонилка-телефон держала три-четыре дня (естественно, без WhatsApp), данные аппарат зарядки требовал каждую ночь. Чем больше пользовался, тем больше разочаровывался - оказалось, что камера никакая, снимать можно только при достаточной естественной освещенности, про вспышку можно сразу забыть - ее действие ограничено лишь полуметром, GPS ловил спутники под открытым небом в ясную погоду минут через 10-15, экран на солнце невозможно в принципе разглядеть даже при максимальной яркости, аккум стал сдаваться все раньше и раньше: только вроде выдернешь из зарядки на 100% и через пять минут уже на экране 95% заряда батарей, а одна минута разговора сажала батарею уже процентов на 5-8. Сейчас, через год использования, полного заряда не хватает даже до обеда, в режиме ожидания (ставил эксперимент в выходные, вообще не использовал) живет полтора-два дня. Сначала думал, что может, мне не повезло с экземпляром... Потом пару недель назад пришло уведомление о выходе новой прошивки, решил сменить - вдруг что улучшиться. Обновил прошивку и все, телефон практически перестал работать - стал нещадно тупить, глючить, самопроизвольно выключаться экран, перестал нормально заряжаться - стоит часа четыре на зарядке, а состояние батареи - 20%. Пришлось отдать ребенку для Энгри Бердс, а себе приобрел xenm более брендовую модель - взял Леново S580.Год назад покупал за 3990, уже пару месячцев спустя купил за те же деньги жене более навороченый агрегат, а сейчас смотрю и не понятно - кто за такую же стоимость приобретает такой отстой, когда и прогресс на месте не стоит, и конкуренты не дремлют.",2
"Покупала год назад, не дорогой был вариант. Если использовать только для разговоров - батареи хватает дня на 3-5, а вот при использовании интернета или приложений - максимум сутки.",3
"Аппаратом пользуюсь 2 недели. Ни разу не приходилось специально перезагружать (но на ночь выключаю всегда) - не подвисал. За такую цену (4900) конкурентов у него просто нет. Если производитель исправит косячки (а это не сложно, т.к. проблемки явно программные) и положит плёнку в комплект, то будет просто супер.",5
"Телефон отличный. Читала по отзывам что некоторые жалуются на то что телефон врет про свой заряд, но с такой проблемой сама не столкнулась. Телефон шустрый, удобный, андройд 4 очень радует, ибо у большиства фирм за такую цену только 2.3 . Он вполне удовлетворил мои потребности, а особенно радует его цена. Берите, не пожалеете.",5
"19.01.14 купил этот телефон, сразу обнаружились проблемы с сенсором в нижней части экрана, если зайти глубоко в какое-нибудь меню (например выбрать мелодию). На следующий день поменял на такой же. Однако и у этого проблема та же. Т.к. телефон по характеристикам меня вполне устраивал и аналогов ему я не нашел, не поленился, пошел и обменял уже в ТРЕТИЙ раз. Но и в третей модели все те-же проблемы с нижней частью сенсора (приходится нажимать по 3-5 раз). Сегодня понесу снова сдавать. Теперь вопрос к представителю Prestigio: это проблема как-то решается? Номер сборки: .......... 20131012.v1.0.26",1
"По дизайну, весу и толщине больше подойдёт мужчинам. Не для игр с акселерометром, да в принципе 4"" вообще не для игр,-для этого существуют планшеты. С остальным справляется ""на ура"".",4
"Молодцы разроботчики,сделали очень не плохой аппарат.Народ,берите смело,он точно стоит своих денег!!!",5
"Изначально хотел телефон с хорошим аккумулятором и внутренней памятью. По этим параметрам отлично подходил philips, но внешне он уступал htc. В итоге внешние параметры htc возобладали над практичностью. Собственно из-за внешнего вида я его и взял.",5
"Этот телефон-- просто слезы, обидно жесть. Такое Г, просто деньги на свалку. И по гарантии не вернуть, тк уже меняли экран. Ставлю 2, а не 1 только потому, что в интернете скорость у него восхитительная. Когда принесла его в сервис с разбитым экраном-- мастер принял со словами ""Как Вас угораздило купить ЭТО"" (((( короче, так мало я еще не пользовалась телефоном никогда, обычно года полтора-два.",2
"Пользуюсь телефоном практически 2 года. Плюсы1. Очень просто отремонтировать самому ничего не повредив (в интернете много видео по его разборке и сборке) 2. Пока что не лагал, не глючилПро звук и экран смысла говорить нет. Лично мне громкости,чтобы услышать звонок хватает  Минусы1. Задняя крышка быстро царапается (без чехла не обойтись)2. Фронтальная камера (часто фотографии получаются смазанные) 3. При играх сильно нагревается  4. Памяти не хватает (пришлось докупить карту памяти) 5. В первое время при наборе текста палец постоянно попадал на клавишу выхода, но это дело привычки6. Иногда вылетают приложения 7. Батарея. В первое время ее хватало на день. Сейчас портативный аккумулятор мой лучший друг.  8. Современные игры тянет с большим трудом.В целом я не особо доволен покупкой и рекомендую хорошо подумать перед покупкой данного телефона.",2
"Подарил жене на Новый год. Главными её требованиями  были большой экран, по мощнее камера и интернет. Всё есть. То что разряжается быстро  - её вообще не напрягает (везде, где она бывает, есть розетки, а если куда-то далеко ехать - есть внешний АКБ). По поводу ведроида - вполне нормальный и привычный 4.4.2. А насчёт ""не включаетя"" или долго думает - люди, где ваши глаза были!!! При покупке не проверить то, за что вы свои деньги отдаёте - это же вообще не знаю как назвать!",5
Выброшенные деньги! Не рекомендую категорически.,2
Эта модель протянула у меня всего год. Постоянные зависания и недостаток памяти заставил задуматься о покупке нового телефона.,3
"Телефон в целом отличный, и камера отличная",5
Доволен,3
после обновления ПО с исправлением бага с wi-fi камера потеряла пиксели((,4
Недорогой,5
"БРАТЬ не советую КАТЕГОРИЧЕСКИ, за такую цену можно и самсунг купить в 2 раза лучше и качественнее.",3
"В общем приобрел данный телефон и расстроился очень!Брал белый с бежевым кантом.Для начала отваливался Wi-Fi постоянно, но проблема решилась после обновления.Квадратики на экране ужасно стали раздражать через пару дней... Особенно видно при солнечном свете.Сколько телефонов не посмотрел после него, ни у одного такого не видел. В салоне сказали, что это особенность экрана, хотя мне кажется это особенность заводского брака)))Начал глючить датчик приближения, при разговоре через секунд 20-35 загорается экран и происходят нажатия щекой. У меня и время менял и интернет открывал и еще много всего)))Очень неудобно писать на клавиатуре, клавиша ""Пробел"" очень близко расположена с клавишей ""Домой"" и постоянно на нее нажимаешь, соответственно вылетаешь на главный экран!Камера точно не 13Мп!!! У жены Samsung который дешевле на 5.000 гораздо лучше фотографирует.Звук из динамика звонка тихий. Динамик разговорный то же непонятного качества - при разговоре нет четкой слышимости, часто все слова сливаются, такое ощущение, что все мои собеседники из каких то подвалов мне звонят!Задняя крышка очень сильно подвержена царапинам!В итоге отнес его в магазин на проверку качества, повезло, что 14 дней с покупки еще не истекло! В общем никому не советую его покупать, за такую цену есть много альтернатив!",2
Цена слишком завышена!,3
"Телефон очень понравился, относительно не дорогой, взял на замену старенькому Samsung Galaxy S2. У HTC отличный внешний вид, материал корпуса приятен на ощупь. Работает на мой взгляд без каких либо тормозов, хотя игрушками на андроиде не увлекаюсь. Из серьезных минусов: ЭКРАН - когда брал в салоне, не заметил, но на дневном свете (особенно когда экран бликует) видны прямоугольные ячейки. До сих пор не могу понять - так было задумано и это просто производственный момент или все таки брак?короткий обзор экрана можно посмотреть по ссылке на youtube: http://www.youtube.com/watch?v=P2ld38-yagAНа самом деле начинает сильно напрягать, чисто с эстетической точки зрения... Экран пластиковый - в этом есть и плюсы и минусы.WI_FI - скорей всего возникает программная ошибка. суть в том что как только телефон переходит в режим ожидания, пропадает вай фай, а также не находит домашний вай фай, только вручную кнопкой выключения/включения на телефоне. могу с уверенностью сказать что дело именно в телефоне.АНДРОИД 4.4.2 - буду банален, но запрет переноса приложений и скачивания какого либо контента на внешнюю sd карту заблокирован..!! зачем тогда нужна это карта??нет слов просто...",3
"Пользую месяц, пробовал ставить другую ""звонилку"", не помогло. Жаль что не почитал отзывы. Весьма разочарован. Никому не рекомендую.",2
"Опыт использования менее месяца. Купил, потому что привычная марка, знаешь, что ожидать. До этого был desire X. Действительно, камеры на прошлом были на порядок лучше.Но в 626 быстродействие заметно возросло, дисплей стал больше, но пиксели ненамного меньше, хотя устраивает.Перед покупкой внимательно изучайте характеристики, чтобы потом не возмущаться на отсутствие незаявленных функций (LTE, одновременный режим сим и пр.).Нужно понимать, что все дорожает, и чтобы оставить цену в 13000, нужно экономить на начинке.Но этот телефон стоит своих денег! Хочется всего? Тогда берите M9 или E8 за 25000+UPD после 4 месяцев использования почему-то заглючил (беспрерывно пытается включиться, но никак), сдал в сервис по гарантии, жду результата и  вынужден гонять с звонилкой (.",5
